Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings
OLED,Universal Display,Information Technology,Semiconductors,"Ewing, NJ",reports
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,General Merchandise Stores,"Harrisburg, Pennsylvania",reports
OLN,Olin,Materials,Diversified Chemicals,"Clayton, Missouri",reports
OMCL,Omnicell,Health Care,Health Care Technology,"Mountain View, California",reports
ONB,Old National,Financials,Regional Banks,"Chicago, Illinois Evansville, Indiana",reports
OPCH,Option Care Health,Health Care,Health Care Facilities,,reports
ORA,Ormat Technologies,Utilities,Renewable Electricity,"Reno, Nevada",reports
ORI,Old Republic International,Financials,Property & Casualty Insurance,"Chicago, Illinois",reports
OSK,Oshkosh,Industrials,Construction Machinery & Heavy Trucks,"Oshkosh, Wisconsin",reports
OVV,Ovintiv,Energy,,"Denver, Colorado",reports
OZK,Bank OZK,Financials,Regional Banks,"Little Rock, Arkansas",reports
PB,Prosperity Bancshares,Financials,Regional Banks,"Houston, Texas",reports
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,"Parsippany, New Jersey",reports
PCH,PotlatchDeltic,Real Estate,Specialized REITs,"Spokane, Washington",reports
PCTY,Paylocity,Information Technology,Application Software,"Schaumburg, Illinois",reports
PDCE,PDC Energy,Energy,Oil & Gas Exploration & Production,,reports
PDCO,Patterson Companies,Health Care,Health Care Distributors,"Mendota Heights, Minnesota",reports
PEN,Penumbra,Health Care,Health Care Equipment,,reports
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",reports
PFGC,Performance Food Group,Consumer Staples,Food Distributors,"Richmond, Virginia",reports
PGNY,Progyny,Health Care,Health Care Services,,reports
PII,Polaris,Consumer Discretionary,Leisure Products,"Medina, Minnesota",reports
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Tysons, Virginia",reports
PLNT,Planet Fitness,Consumer Discretionary,,"Hampton, New Hampshire",reports
PNFP,Pinnacle Financial Partners,Financials,Regional Banks,"Nashville, Tennessee",reports
PNM,PNM Resources,Utilities,Electric Utilities,"Albuquerque, New Mexico",reports
POR,Portland General Electric,Utilities,Electric Utilities,"Portland, Oregon",reports
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats,"St Louis, Missouri",reports
POWI,Power Integrations,Information Technology,Semiconductors,,reports
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats,"Greeley, Colorado",reports
PRGO,Perrigo,Health Care,Pharmaceuticals,"Grand Rapids, Michigan",reports
PRI,Primerica,Financials,Life & Health Insurance,"Duluth, Georgia",reports
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",reports
PZZA,Papa John's Pizza,Consumer Discretionary,Restaurants,"Jeffersontown, Kentucky",reports
QDEL,QuidelOrtho,Health Care,Health Care Supplies,"San Diego, California",reports
QLYS,Qualys,Information Technology,Systems Software,"Foster City, California",reports
R,Ryder,Industrials,Trucking,"Miami, Florida",reports
RCM,R1 RCM,Health Care,Health Care Services,"Murray, Utah",reports
REXR,Rexford Industrial Realty,Real Estate,Industrial REITs,,reports
RGA,Reinsurance Group of America,Financials,Reinsurance,"Chesterfield, Missouri",reports
RGEN,Repligen,Health Care,Biotechnology,"Waltham, Massachusetts",reports
RGLD,Royal Gold,Materials,Precious Metals & Minerals,"Denver, Colorado",reports
RH,RH,Consumer Discretionary,Homefurnishing Retail,"Corte Madera, California",reports
RLI,RLI,Financials,Property & Casualty Insurance,"Peoria, Illinois",reports
RNR,RenaissanceRe,Financials,Reinsurance,Bermuda,reports
RPM,RPM International,Materials,Specialty Chemicals,"Medina, Ohio",reports
RRC,Range Resources,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",reports
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment,"Beloit, Wisconsin",reports
RS,Reliance Steel & Aluminum Co.,Materials,Steel,"Scottsdale, Arizona",reports
RUN,Sunrun,Industrials,Building Products,"San Francisco, California",reports
RYN,Rayonier,Real Estate,Specialized REITs,"Wildlight, Florida",reports
SAIA,Saia,Industrials,Trucking,"Johns Creek, Georgia",reports
SAIC,Science Applications Intl Corp,Industrials,Diversified Support Services,"Reston, Virginia",reports
SAM,Boston Beer Company,Consumer Staples,Brewers,"Boston, Massachusetts",reports
SBRA,Sabra Health Care REIT,Real Estate,Health Care REITs,,reports
SCI,Service Corp Intl,Consumer Discretionary,Specialized Consumer Services,"Houston, Texas",reports
SEIC,SEI,Financials,Asset Management & Custody Banks,"Oaks, Pennsylvania",reports
SF,Stifel,Financials,Investment Banking & Brokerage,"St. Louis, Missouri",reports
SFM,Sprouts Farmers Market,Consumer Staples,Food Retail,"Phoenix, Arizona",reports
SHC,Sotera Health,Health Care,Health Care Services,"Broadview Heights, Ohio",reports
SIGI,Selective Insurance Group,Financials,Property & Casualty Insurance,,reports
SKX,Skechers,Consumer Discretionary,Footwear,"Manhattan Beach, California",reports
SLAB,Silicon Labs,Information Technology,Semiconductors,"Austin, Texas",reports
SLGN,Silgan Holdings,Materials,Metal & Glass Containers,"Stamford, Connecticut",reports
SLM,SLM Corp,Financials,Consumer Finance,"Newark, Delaware",reports
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",reports
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals,"Marysville, Ohio",reports
SNV,Synovus,Financials,Regional Banks,"Columbus, Georgia",reports
SNX,TD Synnex,Information Technology,Technology Distributors,"Fremont, California Clearwater, Florida",reports
SON,Sonoco,Materials,Paper Packaging,"Hartsville, South Carolina",reports
SR,Spire,Utilities,Gas Utilities,"St. Louis, Missouri",reports
SRC,Spirit Realty Capital,Real Estate,Retail REITs,,reports
SRCL,Stericycle,Industrials,Environmental & Facilities Services,"Bannockburn, Illinois",reports
SSB,South State Bank,Financials,Regional Banks,"Winter Haven, Florida",reports
SSD,Simpson Manufacturing,Industrials,Building Products,"Pleasanton, California",reports
STAA,STAAR Surgical,Health Care,Health Care Equipment,"Lake Forest, California",reports
STAG,STAG Industrial,Real Estate,Industrial REITs,"Boston, Massachusetts",reports
STWD,Starwood Property Trust,Financials,Mortgage REITs,"Greenwich, Connecticut",reports
SWAV,Shockwave Medical,Health Care,Health Care Equipment,,reports
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Spring, Texas",reports
SWX,Southwest Gas Corp,Utilities,Gas Utilities,"Las Vegas, Nevada",reports
SXT,Sensient Technologies,Materials,Specialty Chemicals,"Milwaukee, Wisconsin",reports
SYNA,Synaptics,Information Technology,Semiconductors,"San Jose, California",reports
SYNH,Syneos Health,Health Care,Life Sciences Tools & Services,"Morrisville, North Carolina",reports
TCBI,Texas Capital Bancshares,Financials,Regional Banks,"Dallas, Texas",reports
TDC,Teradata,Information Technology,IT Consulting & Other Services,"San Diego, California",reports
